Temperature,Psi_N210,Chi_N210,Tau_N210,Psi_N600,Chi_N600,Tau_N600,Psi_N1200,Chi_N1200,Tau_N1200
0.400000,0.945900,0.808682,6.000000,0.952001,0.730574,6.000000,0.955053,0.664916,5.000000
0.410101,0.939500,0.866502,5.000000,0.947608,0.777355,5.000000,0.948926,0.740675,5.000000
0.420202,0.932408,0.935878,5.000000,0.940779,0.803337,5.000000,0.942344,0.804706,5.000000
0.430303,0.925032,1.088823,6.000000,0.931538,0.984508,6.000000,0.936253,0.849032,5.000000
0.440404,0.914726,1.144616,6.000000,0.923749,1.005170,5.000000,0.927146,0.990230,6.000000
0.450505,0.904863,1.187420,5.000000,0.916946,1.168399,6.000000,0.920623,1.026450,5.000000
0.460606,0.899098,1.276884,5.000000,0.908681,1.153093,5.000000,0.911369,1.164452,6.000000
0.470707,0.885797,1.396760,6.000000,0.899992,1.336344,6.000000,0.902329,1.225224,6.000000
0.480808,0.879833,1.466941,6.000000,0.890428,1.426390,6.000000,0.894761,1.333883,6.000000
0.490909,0.866897,1.548665,6.000000,0.879515,1.462409,6.000000,0.883667,1.398348,6.000000
0.501010,0.851875,1.761333,6.000000,0.868891,1.399842,5.000000,0.873108,1.459456,6.000000
0.511111,0.846931,1.787008,7.000000,0.860001,1.627961,6.000000,0.861721,1.592565,6.000000
0.521212,0.836026,1.741442,6.000000,0.847004,1.735872,6.000000,0.849730,1.751994,6.000000
0.531313,0.818655,1.906169,6.000000,0.834670,1.846153,6.000000,0.838005,1.761981,6.000000
0.541414,0.808555,1.930534,6.000000,0.817825,2.102588,7.000000,0.824803,1.951325,6.000000
0.551515,0.796493,2.102779,6.000000,0.809014,1.990251,6.000000,0.812823,1.981960,6.000000
0.561616,0.781224,2.254323,7.000000,0.793685,2.113580,6.000000,0.797689,2.175105,6.000000
0.571717,0.760585,2.170594,6.000000,0.777993,2.278522,7.000000,0.783126,2.062691,6.000000
0.581818,0.753200,2.555442,6.000000,0.765948,2.345082,6.000000,0.768575,2.215076,6.000000
0.591919,0.735276,2.484819,7.000000,0.746435,2.453870,7.000000,0.754157,2.406939,6.000000
0.602020,0.718832,2.694344,6.000000,0.736374,2.467672,7.000000,0.739769,2.502818,7.000000
0.612121,0.701358,2.691390,7.000000,0.716397,2.820026,8.000000,0.725425,2.618586,7.000000
0.622222,0.686307,2.638233,7.000000,0.699058,2.866512,7.000000,0.706936,2.855787,7.000000
0.632323,0.674677,2.840034,7.000000,0.682952,2.979164,8.000000,0.687412,2.495917,7.000000
0.642424,0.652038,2.840654,7.000000,0.666651,2.893882,7.000000,0.671965,2.899613,7.000000
0.652525,0.633788,3.039412,7.000000,0.648346,2.953941,7.000000,0.653739,2.841016,7.000000
0.662626,0.620134,2.980130,7.000000,0.630809,2.913145,7.000000,0.633858,2.905451,7.000000
0.672727,0.598662,2.907454,7.000000,0.611722,3.158796,8.000000,0.617098,3.126538,8.000000
0.682828,0.570307,2.973919,7.000000,0.596335,3.045047,8.000000,0.596134,3.089968,7.000000
0.692929,0.562208,3.090087,8.000000,0.575635,3.073261,8.000000,0.577869,2.931902,8.000000
0.703030,0.538076,3.169247,8.000000,0.556467,3.238714,9.000000,0.556226,3.062908,8.000000
0.713131,0.521973,3.185212,9.000000,0.531950,3.304538,8.000000,0.538593,3.159014,8.000000
0.723232,0.494678,3.350040,9.000000,0.514550,3.212853,8.000000,0.517350,3.181326,8.000000
0.733333,0.480219,3.259929,10.000000,0.493912,3.526482,10.000000,0.498950,3.375981,9.000000
0.743434,0.456199,3.537392,10.000000,0.476337,3.283216,9.000000,0.478650,3.411795,9.000000
0.753535,0.442920,3.139234,10.000000,0.454524,3.228364,9.000000,0.454210,3.378782,9.000000
0.763636,0.418062,3.506561,11.000000,0.430345,3.738168,11.000000,0.433282,3.609296,11.000000
0.773737,0.401745,3.079660,10.000000,0.414164,3.387916,11.000000,0.410776,3.421875,10.000000
0.783838,0.377056,2.989688,10.000000,0.389527,3.319839,10.000000,0.392455,3.614470,11.000000
0.793939,0.350949,3.131857,12.000000,0.363486,3.304388,11.000000,0.368803,3.413595,11.000000
0.804040,0.345290,3.208319,11.000000,0.348052,3.552558,12.000000,0.348674,3.549356,12.000000
0.814141,0.315857,2.940360,13.000000,0.320792,3.213080,12.000000,0.328343,3.438293,11.000000
0.824242,0.287685,3.310206,16.000000,0.305918,3.372280,12.000000,0.304682,3.104117,14.000000
0.834343,0.272937,2.998472,2372.000000,0.283706,3.026018,12.000000,0.280539,3.306656,14.000000
0.844444,0.251541,3.154732,2353.000000,0.257455,3.013257,15.000000,0.259884,3.319025,15.000000
0.854545,0.225067,2.841437,1427.000000,0.232793,2.798281,15.000000,0.236131,3.089416,14.000000
0.864646,0.212956,2.896951,2355.000000,0.210628,2.949208,18.000000,0.215258,3.082736,18.000000
0.874747,0.195783,2.843366,1076.000000,0.188999,2.671496,18.000000,0.197913,3.018597,17.000000
0.884848,0.171082,2.538878,1340.000000,0.172964,2.299305,15.000000,0.175020,2.712536,17.000000
0.894949,0.143498,2.241569,298.000000,0.150026,2.656681,24.000000,0.158982,2.427960,18.000000
0.905051,0.110980,1.900701,320.000000,0.126294,2.055219,26.000000,0.128492,2.523187,26.000000
0.915152,0.112679,1.807460,187.000000,0.105575,1.980220,1340.000000,0.111334,2.199283,24.000000
0.925253,0.087831,1.565723,273.000000,0.095423,2.048447,49.000000,0.093204,1.841409,27.000000
0.935354,0.091062,1.414086,278.000000,0.075159,2.066686,404.000000,0.083165,1.811143,32.000000
0.945455,0.067909,1.203673,212.000000,0.056590,1.385818,455.000000,0.047401,1.397946,511.000000
0.955556,0.062643,1.048132,139.000000,0.046186,1.103141,267.000000,0.047905,1.288680,862.000000
0.965657,0.046802,0.667395,111.000000,0.032951,0.879599,450.000000,0.029257,0.919663,398.000000
0.975758,0.047893,0.806143,90.000000,0.021591,0.475423,225.000000,0.024683,0.634260,618.000000
0.985859,0.037445,0.522960,73.000000,0.023387,0.551971,306.000000,0.014275,0.363850,224.000000
0.995960,0.033085,0.438035,77.000000,0.014648,0.300240,109.000000,0.007560,0.173923,153.000000
1.006061,0.029419,0.362715,55.000000,0.012002,0.216944,87.000000,0.006958,0.150994,95.000000
1.016162,0.023743,0.300076,55.000000,0.009971,0.153782,70.000000,0.005251,0.074094,108.000000
1.026263,0.020196,0.212800,46.000000,0.007049,0.079711,61.000000,0.003353,0.038767,72.000000
1.036364,0.015675,0.132156,44.000000,0.005336,0.065639,50.000000,0.002531,0.027593,48.000000
